Project_ID,Project_Name,Budget,Estimated_Hours,Timeline_Days,Team_Size,%_Budget_Used,%_Work_Completed,%_Timeline_Completed,At_Risk
64,Project_H,54532,116,208,5,0.18,1.0,1.31,1
65,Project_F,35718,489,280,9,0.55,0.63,1.49,1
66,Project_Q,15260,660,40,8,2.47,0.92,0.71,1
67,Project_D,61621,773,222,5,1.79,1.0,1.09,1
68,Project_F,94273,161,41,7,0.08,0.73,0.78,0
69,Project_Y,94406,687,283,4,0.44,0.91,1.25,1
70,Project_E,35788,466,149,16,1.03,1.0,0.57,1
71,Project_J,27479,508,252,5,0.97,0.99,1.16,0
72,Project_Z,15340,417,86,3,3.74,1.0,1.33,1
73,Project_D,49999,981,285,10,1.07,0.95,1.35,1
74,Project_I,73265,163,48,7,0.21,1.0,1.18,0
75,Project_G,54947,266,96,8,0.43,0.97,1.09,0
76,Project_H,44715,166,141,6,0.21,0.84,1.09,1
77,Project_B,23776,79,232,7,0.21,0.75,0.89,0
78,Project_N,84392,205,76,10,0.09,0.7,1.44,1
79,Project_I,82931,398,264,7,0.05,0.52,1.38,1
80,Project_G,99137,786,292,7,0.82,1.0,0.91,0
81,Project_A,32671,596,117,11,0.83,1.0,1.08,0
82,Project_C,29471,326,277,7,0.6,0.87,0.97,0
83,Project_D,38862,265,119,6,0.38,1.0,0.57,0
84,Project_X,17090,623,283,5,2.48,1.0,0.53,1
85,Project_D,5407,85,144,15,0.57,0.49,0.85,1
86,Project_F,95596,144,307,16,0.04,0.66,1.35,1
87,Project_A,22732,587,65,15,1.91,0.89,0.58,1
88,Project_G,20337,492,191,4,3.35,1.0,1.27,1
89,Project_L,58305,797,276,6,1.33,1.0,0.8,1
90,Project_W,94205,658,345,11,0.6,1.0,0.67,0
91,Project_V,72205,220,192,9,0.29,1.0,0.85,0
92,Project_X,86937,234,337,12,0.18,1.0,0.55,0
93,Project_W,14590,275,220,8,1.67,1.0,1.36,1
94,Project_F,94316,748,99,17,0.33,0.81,0.85,0
95,Project_M,13537,302,220,19,2.73,1.0,0.84,1
96,Project_M,78453,518,275,14,0.86,1.0,1.32,1
97,Project_N,10618,561,357,3,2.79,0.81,1.33,1
98,Project_J,75611,403,163,7,0.38,1.0,1.03,0
99,Project_Q,52780,581,162,13,0.55,1.0,1.11,0
100,Project_K,72252,545,342,3,0.63,1.0,1.12,0
101,Project_T,24693,744,50,10,1.31,1.0,1.0,1
102,Project_V,62501,705,271,8,0.57,1.0,1.0,0
103,Project_J,29140,925,128,12,3.31,1.0,1.0,1
104,Project_I,27079,137,314,15,0.29,1.0,1.0,0
105,Project_Z,81710,755,291,19,0.39,1.0,1.0,0
106,Project_Z,35532,621,171,9,0.73,1.0,1.0,0
107,Project_K,86226,138,309,16,0.12,1.0,1.0,0
108,Project_H,23515,866,47,15,0.94,1.0,1.0,0
109,Project_K,37564,886,332,15,0.62,1.0,1.0,0
110,Project_Z,51628,993,275,11,1.6,1.0,1.0,1
111,Project_O,73472,879,126,19,0.73,1.0,1.0,0
112,Project_R,70125,953,325,12,0.27,1.0,1.0,0
113,Project_Q,78065,851,58,10,1.04,1.0,1.0,1
114,Project_Q,68362,941,302,3,0.47,1.0,1.0,0
115,Project_W,83365,823,128,9,0.72,1.0,1.0,0
116,Project_F,25917,113,288,20,0.23,1.0,1.0,0
117,Project_B,53127,493,294,19,0.88,1.0,1.0,0
118,Project_N,69252,668,39,8,0.52,1.0,1.0,0
119,Project_Y,26904,421,355,17,1.07,1.0,1.0,1
120,Project_R,30070,293,339,13,0.26,1.0,1.0,0
